hcat4_code,class
3310106000,1
3320201000,2
3320100000,3
3360000000,4
3310101001,5
3390000000,6
3320000000,7
3310108001,8
3310104001,9
3311100000,10
3320201050,11
3310604011,12
3310200000,13
3310202010,14
3310104002,15
3310105001,16
3310201080,17
3310202030,18
3310110000,19
3310617030,20
3310100000,21
3310201010,22
3310604020,23
3320201020,24
3370000000,25
3330100000,26
3310116000,27
3330299000,28
3310719020,29
3310700000,30
3310105002,31
3310300000,32
3330000000,33
3330600000,34
3310000000,35
3310703020,36
3310198001,37
3310201070,38
3310103001,39
3311300000,40
3330700000,41
3310701000,42
3310702030,43
3310612000,44
3310101002,45
3310201000,46
3330305000,47
3310604012,48
3320201030,49
3310702060,50
3310715000,51
3320201010,52
3310102001,53
3310201090,54
3310602000,55
3310201040,56
3310103002,57
3310607000,58
3310702040,59
3310707000,60
3310108002,61
3310610000,62
3350000000,63
3310201030,64
3310109000,65
3310715030,66
3310715020,67
3310708040,68
3310715050,69
3310715070,70
3330306000,71
3310202050,72
3310612380,73
3340200000,74
3310714000,75
3310702050,76
3310716010,77
3330301000,78
3330500000,79
3330104000,80
3330901000,81
3330302000,82
3310105000,83
3311200000,84
3330202020,85
3330402000,86
3330113000,87
3330103000,88
3330401000,89
3330114000,90
3320200000,91
3330115000,92
3310107000,93
3330499000,94
3330404000,95
3310104000,96
3330403000,97
3310713000,98
3310707050,99
3330111000,100
3310712000,101
3310101000,102
3310612150,103
3310612270,104
3330109000,105
3330112000,106
3310202060,107
3330106000,108
3310612320,109
3330116000,110
3360100000,111
3310108000,112
3330102000,113
3360700000,114
3310103000,115
3310612190,116
3310702010,117
3330108000,118
3310717000,119
3330107000,120
3310715040,121
3310704000,122
3310719030,123
3310711000,124
3310604010,125
3310612100,126
3330304000,127
3310612220,128
3310102000,129
3310615000,130
3369900000,131
3330300000,132
3310708020,133
3310703040,134
3360600000,135
3310839000,136
3310800000,137
3310717070,138
3310708030,139
3310612400,140
3310612990,141
3310706000,142
3310612370,143
3330200000,144
3360900000,145
3310202000,146
3310707030,147
3330199000,148
3310115000,149
3310202990,150
3310299000,151
3310707010,152
3310716020,153
3310717990,154
3310612030,155
3330206030,156
3320201090,157
3310612090,158
3310604990,159
3310716000,160
3310113000,161
3310612200,162
3310837000,163
3310799000,164
3310198000,165
3310603000,166
3310601000,167
3310708060,168
3310600000,169
3349900000,170
3310112000,171
3310719010,172
3310201020,173
3330202000,174
3310612130,175
3330206010,176
3330201000,177
3310612260,178
3310708000,179
3310604000,180
3330204010,181
3310612080,182
3310899000,183
3310612300,184
3310708050,185
3310828000,186
3310719000,187
3330206020,188
3330206990,189
3330202010,190
3330899000,191
3360500000,192
3310707100,193
3360300000,194
3361000000,195
3310823000,196
3320201070,197
3310612250,198
3310717010,199
3310707990,200
3310717050,201
3310707060,202
3310201990,203
3310834000,204
3310825000,205
3360800000,206
3310717020,207
3310612390,208
3310703010,209
3330806000,210
3330803000,211
3310612070,212
3310199000,213
3330208000,214
3330400000,215
3330804000,216
3310111002,217
3310110001,218
3310111001,219
3330800000,220
3310112001,221
3310102002,222
3310110002,223
3310849000,224
3310707040,225
3310707110,226
3310717030,227
3310707130,228
3310711010,229
3310703030,230
3310707120,231
3310833000,232
3310822000,233
3310812000,234
3310821000,235
3310400000,236
3310707020,237
3310606000,238
3310705000,239
3310707090,240
3320201040,241
3310845000,242
3310847000,243
3330204020,244
3310711020,245
3310707070,246
3310809000,247
3310709000,248
3310853000,249
3310806000,250
3320201100,251
3310612020,252
3320201060,253
3310715090,254
3310201050,255
3311000000,256
3310844000,257
3310699000,258
3310851000,259
3310604013,260
3310617020,261
3310717040,262
3319900000,263
3310112002,264
3310612040,265
3310814000,266
3310813000,267
3310202020,268
3310803000,269
3310818000,270
3310805000,271
3310612180,272
3310808000,273
3310612140,274
3310717060,275
3310612110,276
3310852000,277
3310718000,278
3310198002,279
3320209900,280
3310708010,281
3310612360,282
3310810000,283
